Project Scorecard - SASE ,Weighting,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,,
Do you have a middle mile network?,10,Yes (Mostly GCP backbone),3,6,CATO and Versa provide middle-mile networks as options or as standard practice for routing,5,10,No,0,0,"The Cato Cloud network avoids the unpredictable behavior of the Internet. It is a private, global network of PoPs built on top of multiple SLA-backed tier-1 carriers. Optimized routing algorithms direct UC traffic across the paths with the least latency and packet loss.",5,10,Yes,3,6,No,0,0,Yes,5,10,No,0,0,NO,0,0,"Yes, Windstream offers long haul, regional/middle mile/last mile access.",,0,No,0,0,,
Number of circuits supported,0,16 WAN circuits ,5,0,Varies by device but benchmark is 3,3,0,14,5,0,Cato sockets all support 2 WAN circuits.,3,0,Topology dependent. Minimum 5 directly. Practically unlimited using an aggregation router. (We generally recommend 2-3),5,0,up to 4 WAN circuits depending on hardware model,5,0,,,0,"8 on Velo.  2 - 16 on Fortinet, 3-8 on BigLeaf",5,0,up to 4,5,0,"Depends on the chosen customer solution, between 1 and 4. ",,0,8,5,0,,
Support packet duplication,10,No,0,0,Yes,5,10,Yes,5,10,"The Cato service delivers prioritization end to end from the point of the Cato socket device, through to the destination Cato socket. Customers can define and manage prioritization and bandwidth from a centralized location with as much granularity as required:

• Configuring organization's QoS policies through BW Management profiles. These profiles define priorities and limit upstream/downstream bandwidth to either a fixed speed or a percentage of the total bandwidth.

• Analyzing QoS in real-time or viewing historical data

When you configure a Cato site within Cato Management Console, the administrator can also configure the upstream/downstream bandwidth capacity. In this way, the Cato Cloud is aware of the capacity of each link, and can further leverage it in the QoS engine.

As part of the QoS engine, Cato continuously monitors each link’s quality matrix (congestion, packet loss, jitter, latency) and dynamically sends traffic over the best available link and as per configured in the PBR.

Furthermore, Cato uses Weighted Random Early Drop (WRED). Prior to discarding a packet (due to lack of capacity), Cato buffers a minimum threshold of 250 packets and an upper threshold of 500 packets. You can analyze discarded packets using Cato Management Console's Site Analytics section.

Networks Rules allow the administrator to define Policy Based Routing to steer traffic over Cato or other available Transport paths, whilst also controlling ISP Circuit selection, Packet Loss Mitigation, and more. The Network rules can based upon, Src / Dst, AD User or User Group, Application or Application Group, Service, and manually defined logical grouping.

The PBR comprises the following main functions:

• Transport Selection: you can define through which transport (such as Cato or Alt. WAN) to transfer specific traffic. For example, if a site has Alt. WAN (MPLS) as well as an internet link, you can define a PBR where certain WAN traffic is directed over MPLS while the remaining traffic and internet is directed over the Cato Cloud

• NIC Selection: you can define through which NIC to transfer specific traffic. For example, if a site has multiple internet lines, you can define a PBR where one NIC is used for all business apps, while another NIC is used for non-business apps.

• Egressing or NAT from the Cato Cloud: you can select via which PoP(s) or IP(s) should specific traffic be egressed from

the Cato Cloud, as explained in the following examples:

• Egressing from a specific location (Route via): If you want to optimize specific internet traffic to egress from the Cato Cloud closer to the target location, or to egress specific locations for localization purposes.

• NAT with a specific IP: If you need to egress with a specific IP to gain secure access to applicable SaaS applications (for example, egressing Salesforce traffic with a specific IP from Cato Cloud and populating that IP in Salesforce's whitelist increases overall security, and forces users to access Salesforce from the Cato Cloud, benefiting from the Cato Cloud Security Services Stack).

For each BW Management profile, you assign a number defining its priority. When you assign these prioritized profiles to the Network Rules, you effectively implement traffic prioritization which includes, when links are congested, throttling of traffic as per defined limits in the BW Management profile.

Cato provides a set of predefined priorities (as which can be added, modified, deleted) assigned to the predefined network rules as follows:

P10: Prioritizing Voice & Video traffic across WAN and Internet

P20: Prioritizing RDP traffic across WAN and Internet

P30: Prioritizing SMB traffic across WAN and Internet

P40: Prioritizing the rest of the WAN traffic

Default: Prioritizing the rest of the Internet traffic and used as default priority when a Networking Rule doesn’t have a QoS context (meaning no specific priority should be assigned to it)",5,10,Y,5,10,"No, packet replication is supported in it's place",5,10,Yes,5,10,Yes on VeloCloud,5,10,depending on platform yes,5,10,"Yes, Windstream does have solutions which support that feature.",,0,Yes,5,10,,
Support forward error correction,10,Yes,5,10,No,0,0,Yes,5,10,"Cato supports all of the table-stakes features of traditional SD-WAN: Forward Error Correction, Packet Duplication, Packet Ordering Correction and load-balancing over multiple WAN links.
It should be noted that for most SD-WAN vendors, this is where they stop. For Cato, this is only the beginning of our WAN capabilities.Cato’s unique Multi-Segment Optimization combines edge- and backbone-specific optimizations, allowing us to optimize routing and maximize throughput end-to-end to both physical and cloud destinations. For Cato, the key to performance is not so much what vendors do at the edge with SD-WAN parlor tricks, it is what we do between our POPs (the middle mile) to guarantee a truly better experience for our users.
Within the middle-mile, Cato PoPs choose the best, SLA-backed carrier for every packet. Routing on SLA-backed carriers end-to-end eliminates the packet loss incurred during carrier peering. With the optimum network determined, Cato PoPs act as TCP proxies, dramatically improving end-to-end TCP throughput. As proxies, the PoPs make distant destination appear close to TCP clients and servers, which allows them to set large TCP windows. As a result, clients and servers can pass far more data at once before waiting for acknowledgement.",0,0,Y,5,10,Yes,5,10,Yes,5,10,Yes on VeloCloud,5,10,depending on platform yes,5,10,"Yes, Windstream does have solutions which support that feature.",,0,Yes,5,10,,
Historical Reporting (retention period),10,Up to 1 year.  Depends on cloud storage allocated.,5,10,Yes(default 90 days but can be extended to longer periods with add-on subscription),3,6,1 year,5,10,"Cato offers an extensive set of real-time and historical reporting capabilities, such as:Site connectivity: uptime, link quality (latency, packet loss, jitter, number of hops), link utilization, ISP performance, etc. Usage: applications, domains, hosts, users, etc. QoS: queue utilization, low priority packet drops, top users, MOS scoring, etc.Security: access control events, threat prevention events etc. Additionally the Cato API can be queried for reporting data.",3,6,1 year (default); practically unlimited using ancillary logging mechanism.,5,10,"Analytics Dashboard data in orchestrator is stored fo 90 days,for  detailed flow/FW logs Lumen expects customer to have a collector server.",3,6,Varies with service purchased,,0,30 days,1,2,90 days is default.  More if requested,3,6,"Yes, Windstream does have solutions which support that feature.",,0,"

For AT&T Software-Defined Wide Area Network (SD-WAN) with Aruba, you access reports through the Unity Orchestrator portal.

Unity Orchestrator provides a robust set of monitoring and reporting capabilities on network performance and application monitoring.",,0,,
Real-time Traffic visibility and analytics,10,Yes,5,10,Yes to all platforms,5,10,Yes,5,10,"The Cato service delivers prioritization end to end from the point of the Cato socket device, through to the destination Cato socket. Customers can define and manage prioritization and bandwidth from a centralized location with as much granularity as required. Configuring the organization's QoS policies is done through BW Management profiles. These profiles define priorities and limit upstream/downstream bandwidth to either a fixed speed or a percentage of the total bandwidth.
 
Analyzing QoS in real-time or viewing historical data: When configuring a Cato site within the Cato Management Application (CMA), the administrator also configure the upstream/downstream bandwidth capacity. In this way, the Cato Cloud is aware of the capacity of each link, and can further leverage it in the QoS engine.
 
As part of the QoS engine, Cato continuously monitors each link’s quality matrix (congestion, packet loss, jitter, latency) and dynamically sends traffic over the best available link and as per configured in the PBR. Furthermore, Cato uses Weighted Random Early Drop (WRED). Prior to discarding a packet (due to lack of capacity), Cato buffers a minimum threshold of 250 packets and an upper threshold of 500 packets. You can analyze discarded packets using the analytics view.
 
Networks Rules allow the administrator to define Policy Based Routing to steer traffic over Cato or other available transport paths (such as MPLS), whilst also controlling ISP Circuit selection, Packet Loss Mitigation, and more. The network rules can be based upon, Src / Dst, AD User or User Group, Application or Application Group, Service, and manually defined logical grouping.
 
The PBR comprises the following main functions:
 
• Transport Selection: you can define through which transport (such as Cato or Alt. WAN) to transfer specific traffic. For example, if a site has Alt. WAN (MPLS) as well as an internet link, you can define a PBR where certain WAN traffic is directed over MPLS while the remaining traffic and internet is directed over the Cato Cloud
• NIC Selection: you can define through which NIC to transfer specific traffic. For example, if a site has multiple internet lines, you can define a PBR where one NIC is used for all business apps, while another NIC is used for non-business apps.
• Egressing or NAT from the Cato Cloud: you can select via which PoP(s) or IP(s) should specific traffic be egressed from the Cato Cloud, as explained in the following examples:
• Egressing from a specific location (Route via): If you want to optimize specific internet traffic to egress from the Cato Cloud closer to the target location, or to egress specific locations for localization purposes.
  
For each BW Management profile, you assign a number defining its priority. When you assign these prioritized profiles to the Network Rules, you effectively implement traffic prioritization which includes, when links are congested, throttling of traffic as per defined limits in the BW Management profile.
 
 
Cato provides a set of predefined priorities (as which can be added, modified, deleted) assigned to the predefined network rules as follows:
  
P10: Prioritizing Voice & Video traffic across WAN and Internet
P20: Prioritizing RDP traffic across WAN and Internet
P30: Prioritizing SMB traffic across WAN and Internet
P40: Prioritizing the rest of the WAN traffic
Default: Prioritizing the rest of the Internet traffic and used as default priority when a Networking Rule doesn’t have a QoS context (meaning no specific priority should be assigned to it).",5,10,Yes,5,10,"Yes, Monitor module allows for real time statistics of devices",5,10,Yes,5,10,We provide visibility on our SDWAN products,5,10,Yes,5,10,"Yes, Windstream does have solutions which support that feature.",,0,"Performance Dashboard provides continuous performance monitoring as well as network and application health monitoring of loss, latency, and jitter. This feature identifies and alerts you of potential issues to ensure your network and application performance remains optimal. ",5,10,,
Speed to failover between circuits,10,<1 sec,5,10,Ability to keep session live with Versa and CATO are table stakes. Forinet has yet to provide a consistent experience in this regard.,5,10,<500Ms,5,10,"Managed remotely via the Cato Cloud-based Management Console (CC2), customers configure the following capabilities across single or hundreds of sites with minimal effort and via a single platform.

Dynamic path selection

Using the Cato Socket device (see attached data sheets), ISP circuit selection can be made automatically based on line quality (jitter, latency, packet loss) and also load balancing based on bandwidth availability over multiple ISP circuits. Additionally, the path selection be directed via business focused policies to ensure the traffic prefers specific circuits, based on matching criteria such as, Application type, User or User group, src / dst etc. This does not preclude non-preferred circuit from also acting as a backup should the first fail or become over contended.

Application optimisation

Cato takes the approach of network level optimisations rather than application level. With application level optimisations, comes significant administrative overhead per application, the risk of breaking an applications communications, and ongoing maintenance upon application changes and upgrades. Cato takes the approach of leveraging a Tier 1 based, SLA-backed backbone to form a low latency and predictable middle mile. Leveraging this backbine, Cato then implements TCP acceleration, providing optimisation at a network level, benefiting all applications, without the adminsitrative overhead.


Performance based routing

As well as having full control to set a preferred circuit for specific applications, users / user groups, sources and destinations, the Cato solution defines thresholds which if reached dictate the circuit path selected for traffic.

Dynamic cloud access

Cato connects IaaS locations to the Cato Network using either a vSocket or IPSec tunnel, resulting in the same visibility, access and control as physical locations. The Cloud environments can then be accessed from other Cato-Connected locations and also mobile users with the Cato Client installed.

Layer 4 firewalling

Layer 4 firewalling is supported on the Cato Socket device to provide control between locally LAN subnets, without the requirement for the traffic to first pass into the Cato Cloud for inspection. This maintains a low latency and line speed connectivity.

Layer 7 firewalling

Layer 7 firewall is support, for any traffic passed to the Cato Cloud. The inspection takes place at the ingress PoP, providing full application awareness firewalling, URL filtering, IPS and advanced anti-malware.",5,10,~300ms - ~500ms,5,10,"path down is 3 seconds, 1 probe a second 3 concec failuers",3,6,300ms,5,10,"VeloCloud & Bigleaf are seamless, FortiNet will require traffic to be shifted from one circuit to the next.",5,10,sub second on SD-Wan,3,6,Depends on the chosen customer solution.,,0,Milliseconds - per packet,5,10,,
Cloud Firewall,20%, ,,22%,,,19%,Note: Below are capabilities of Cisco Secure Connect,,22%, ,,19%, ,,19%, ,,16%,,,18%, ,,15%, ,,19%,,,22%, ,,9%,,
Prem or Pop based,info,POP,,,POP Based,,,POP,,,"Cloud-native service, leveraging owned symmetrical PoPs and Cato's global private backbone.",,,Either (both are supported),,,Pop Based,,,POP,,,"We do not have a Cloud Firewall solution, only appliance. Answers below are based on our firewall appliances.",,,Both,,,Both,,,Pop based,,,,
Can you handle inbound traffic for hosted systems,Pass/Fail,Yes,5,5,Yes,Pass,Pass,Yes,5,5,"WAN Optimization for IaaS & SaaS:Within the middle-mile (Cato Cloud), Cato PoPs choose the best, SLA-backed carrier for every packet. Routing on SLA-backed carriers end-to-end eliminates the packet loss incurred during carrier peering. With the optimum network determined, Cato PoPs act as TCP proxies, dramatically improving end-to-end TCP throughput. As proxies, the PoPs make distant destination appear closer to TCP clients and servers, which allows them to set large TCP windows. As a result, clients and servers can pass far more data at once before waiting for acknowledgement. QoS on Public Internet:
One of the most unique and compelling benefits of Cato's POP-based architecture is our ability to provide QoS over public Internet. Unlike any other vendor in our vertical, we control both ends of the last mile. Like an MPLS provider we control outbound traffic from the site to our POP. We also control inbound traffic from the POP to the site. This enables some very nice capabilities we can deliver over Public Internet: All SD-WAN vendors can prioritize data for outbound traffic. Cato is the only vendor who can provide inbound QoS typically reserved only to MPLS providers. For any application (internally hosted or SaaS), Cato can protect EF and mission-critical data on the inbound path. For example we can guard against VoIP or critical ERP traffic from experiencing loss-based congestion caused by a large FTP transfer, YouTube video or other bandwidth hungry applications. Without MPLS, no other SD-WAN vendor can make this same claim. Finally, we can rate limit inbound WWW and Best Effort traffic before it hits the bottleneck of the last mile. The net result is Cato delivers a quality of experience similar to MPLS over public Internet.",Pass,Pass,Yes,5,5,Yes,Pass,Pass,Yes,5,5,"Yes, using BigLeaf SDWAN",0,0,Yes,5,5,"Yes, Windstream does have solutions which support that feature.",5,5,"No, however, AT&T Dynamic Defense offer can inspect incoming traffic",Fail,Fail,,
Do you offer client specific static IPs,Pass/Fail,"Yes, all customers will get their dedicated public IP address.",5,5,Yes,Pass,Pass,Yes,5,5,"All that Cato requires is an ISP with either Static or DHCP Public IP where you can connect the WAN interface of the Cato Socket. Our customers create a site (define LAN, VLAN, IP address parameters) on Cato Management Console, and:

• For sites with Static Public IP from ISP - Using a Cato Pre-defined interface on the Cato Socket, our customers login to the SocketUI and configure the Public Static IP. Upon reboot, the Cato Socket calls home, upgrades and then allows you to attach Socket to the site template you created above. From there, all configurations for the site are managed from the Cato Management Console
• For sites with DHCP Public IP from ISP, even easier, just connect the WAN interface of the Cato Socket to the ISP, it will call home, upgrade and allow you attach it to the site you created above. Once again, from there, all configurations for the site are managed from the Cato Management Console.",Pass,Pass,Yes (for either on-prem or hosted firewall),5,5,Yes- single /32 is provided on the outside interface,Pass,Pass,Yes,5,5,"Yes, using BigLeaf SDWAN",0,0,Yes,5,5,Yes,5,5,AT&T will provide public IP addresses when public wireline services are purchased,Pass,Pass,,
Unified ruleset across all locations/POPs,10,Yes,5,10,Yes,5,10,Yes,5,10,"Cato Cloud Access Security Broker (CASB) helps organizations cope with the perils of shadow IT. Beyond unsanctioned applications, CASB helps organizations control access to sanctioned applications as well, making sure only authorized users - using authorized credentials - are granted access.
Cato CASB has 4 major elements: Visibility, Assessment, Enforcement, and Protection. 
 
 
Visibility: Cato's CASB solution monitors all enterprise SaaS-bound traffic and provides a detailed shadow IT report which details all applications, both sanctioned and unsanctioned, being accessed and used.
 
 
Assessment: Cato's CASB utilizes a unique Application Credibility Evaluator (ACE) which automates data collection and enables a quick and accurate assessment of each application's profile, resulting in an aggregated risk score - providing insight into the application's purpose, publishers' credibility, degree of security or lack thereof, compliance, etc.
 
 
Enforcement: The ""CASB Policy Rules"" view (via the Cato Management Application) lists all defined rules with the applications they have been defined for, the matching criteria, the specified action to be taken in case the rule applies, the associated severity level and whether an alert or event should be generated. The list can be filtered to display a subset of rules with common criteria.
 
 
Protection: By unifying all the security services in a single software stack running in each of Cato's cloud PoPs, all SaaS traffic passing through the PoP is analyzed by all security services - providing continuous protection via rigorous, automated enforcement of customer-defined policy based on context.
 
 
Deploying CASB as part of Cato's SASE architecture simplifies the network and improves visibility and overall security by utilizing a fully converged security and networking software stack embedded into each PoP. Cato’s SASE Cloud also leverages a private global backbone to optimize SaaS application performance by implementing prioritization, QoS, TCP optimization, and packet loss mitigation techniques, and offering resilient connectivity across the globe. The converged software stack utilizes Cato unique Single Pass Architecture Engine (SPACE) which enables a unified view and decision process in contrast to the chaining of siloed stand-alone products. The same processing is applied to all traffic, including remotely connected users. Lastly, Cato's SASE Cloud offers single-pane-of-glass management, covering all security and networking services in a unified console.",5,10,Yes,5,10,"Yes, coordinated by orchestration policy",5,10,Yes,5,10,Yes,5,10,Yes device configurations standars are used,5,10,"Yes, Windstream does have solutions which support that feature.",5,10, ,,0,,
Content filtering,10,Yes,5,10,Yes,5,10,Yes,5,10,"Cato uses its own service, which includes Web Content filtering, URL Filtering, IPS, Anti-malware, NG Anti-malware and MDR.",5,10,Yes,5,10,yes,5,10,Yes,5,10,Yes,5,10,Yes,5,10,"Yes, Windstream does have solutions which support that feature.",5,10,Yes,5,10,,
Tie back to endpoint context,10,Yes,5,10,Yes,5,10,Yes,5,10,"Cato's EPP provides industry leading protection of your endpoints with a single console for management of threats from across your environment. The key benefits of Cato's EPP are:
• Cato's EPP solution is fully managed through the Cato Management Application. Admins can oversee protected endpoints from a unified console, consolidating user data, network information, and security policies.
• With EPP enabled, Cato protects both network traffic and your endpoints ensuring layered protection against attack. Cato utilizes BitDefender to provide industry leading protection against attacks.
• Using Cato's EPP you can consolidate alerts from all entities into a single pane of glass. For example, from the Events page, using preset filters, you can view an alert triggered by a malicious document on an endpoint. Then, from the same page view an Anti-Malware alert from a scan of WAN and Internet traffic for potentially malicious files. This enables you to analyze complex threats that span across your endpoints and network.
• As the same user entity is used across the Cato Management Application, this means that alerts also provide a single source of information. For example, adding a filter for a user displays information from EPP as well as Network or Access alerts. This avoids manually searching for the user in multiple vendor console.",5,10,Can we request clarification on this question,,0, ,,0,Yes,5,10,Yes,5,10,need clarification,,0,"Yes, Windstream does have solutions which support that feature.",5,10, ,,0,,
Anti-malware (signature based),10,Yes,5,10,Yes,5,10,Yes,5,10,"WAN NGFW (east-west), Internet NGFW (Noth-south)+SWG (url-filter), IPS, Anti-malware & Next gen Anti-malware (ML/AI based), CASB, DLP, TLS inspection and MDR (Managed Detection and Response)
Cato’s Next Generation Anti-malware leverages machine learning algorithms from SentinelOne’s Nexus SDK, an industry leader, to provide NGAV and identify and block unknown malware. Unknown malware can come as either zero-day attacks or, more frequently, as polymorphic variants of known threats that are designed to evade signature-based inspection engines. As with our signature-based protections, our machine learning-based protections keeps all customer data private and confidential, as Cato does not share anything with cloud-based repositories.",5,10,Yes,5,10,"Yes, IPS/IDS malware signatures",5,10,Yes,5,10,Yes,5,10,Yes,5,10,"Yes, Windstream does have solutions which support that feature.",5,10, ,,0,,
Next Gen Anti-malware (ML Based),10,Yes,5,10,Yes,5,10,Yes,5,10,"Cato's Next-Gen Anti-Malware (NGAM) processing includes:
• Deep Packet Inspection of traffic payload for clear and encrypted traffic (if enabled). File objects are extracted from the traffic stream, inspected, and blocked, where appropriate.
• True Filetype Detection is used to identify the actual type of a file going over the network regardless of its file extension or the content-type header (in case of HTTP/S transfer). Cato uses this capability to detect all potential high-risk file types, defeating evasion techniques that are used by either attackers or misconfigured webapplications. This engine is also used by Cato IPS providing more context during flow analysis and acts as a key factor in detection of malicious network behavior.
• Malware Detection and Prevention leverages multi-layered and tightly-integrated anti-malware engines. First, a signature and heuristics-based inspection engine, which is kept up-to-date at all times based on global threat intelligence databases, scans files in transit to ensure effective protection against known malware. Second, we’ve partnered with SentinelOne, an industry leader, to leverage machine learning and artificial intelligence to identify and block unknown malware. Unknown malware can come as either zero-day attacks or, more frequently, as polymorphic variants of known threats that are designed to evade signature-based inspection engines. With both signature and machine learning-based protections, customer data remains private and confidential, as Cato does not share anything with cloud-based repositories.

Processing happens at line speed, without impact to the end user experience. When a malicious file is detected, user access will be blocked, and the user will be redirected to a block page. Customers have the ability to configure Cato’s anti-malware service to either monitor or block. It is possible to apply exceptions for specific files for a set duration.",5,10,Yes,5,10,Yes,5,10,Yes,5,10,Yes,5,10,Yes,5,10,"Yes, Windstream does have solutions which support that feature.",5,10, ,,0,,
IPS/IDS,10,Yes,5,10,Yes,5,10,Yes - but requires more customer discovery to match needs,5,10,"Cato Networks’s optional Intrusion Prevention Services (IPS/IDS) offers several layers of protection, including Behavioral Signatures, Reputation Feeds, Protocol Validation, Malware Communication, Geolocation and Network Behavioral Analysis. One of the unique characteristics of Cato’s IPS is that it is provided as a service with zero involvement required from the customer. Cato Research Labs updates, tunes, and maintains IPS signatures, both those developed in house (based on big-data collection and analysis of Cato Networks’s traffic) and those originating from external security feeds. The customer will be alerted by email and on the Portal with detailed information on any security anomaly identified by Cato’s IPS Service.",5,10,Yes,5,10,Yes,5,10,Yes,5,10,Yes,5,10,Yes,5,10,"Yes, Windstream does have solutions which support that feature.",5,10,Yes,5,10,,
CASB,10,Optional licesnsing - requires customer discovery,5,10,Yes,5,10,Yes - but requires more customer discovery to match needs,5,10,"Cato Cloud Access Security Broker (CASB) helps organizations cope with the perils of shadow IT. Beyond unsanctioned applications, CASB helps organizations control access to sanctioned applications as well, making sure only authorized users - using authorized credentials - are granted access.
Cato CASB has 4 major elements: Visibility, Assessment, Enforcement, and Protection. 

Visibility: Cato's CASB solution monitors all enterprise SaaS-bound traffic and provides a detailed shadow IT report which details all applications, both sanctioned and unsanctioned, being accessed and used.

Assessment: Cato's CASB utilizes a unique Application Credibility Evaluator (ACE) which automates data collection and enables a quick and accurate assessment of each application's profile, resulting in an aggregated risk score - providing insight into the application's purpose, publishers' credibility, degree of security or lack thereof, compliance, etc.

Enforcement: The ""CASB Policy Rules"" view (via the Cato Management Application) lists all defined rules with the applications they have been defined for, the matching criteria, the specified action to be taken in case the rule applies, the associated severity level and whether an alert or event should be generated. The list can be filtered to display a subset of rules with common criteria.

Protection: By unifying all the security services in a single software stack running in each of Cato's cloud PoPs, all SaaS traffic passing through the PoP is analyzed by all security services - providing continuous protection via rigorous, automated enforcement of customer-defined policy based on context.

Deploying CASB as part of Cato's SASE architecture simplifies the network and improves visibility and overall security by utilizing a fully converged security and networking software stack embedded into each PoP. Cato’s SASE Cloud also leverages a private global backbone to optimize SaaS application performance by implementing prioritization, QoS, TCP optimization, and packet loss mitigation techniques, and offering resilient connectivity across the globe. The converged software stack utilizes Cato unique Single Pass Architecture Engine (SPACE) which enables a unified view and decision process in contrast to the chaining of siloed stand-alone products. The same processing is applied to all traffic, including remotely connected users. Lastly, Cato's SASE Cloud offers single-pane-of-glass management, covering all security and networking services in a unified console.
 
Besides Inline CASB, Cato provides out-of-band (API-based) capabilities. 
SaaS Security API gives the ability to also monitor and react to traffic from remote users that connect directly to the cloud apps. This applies even when they are not using the SDP Client to send traffic over the Cato Cloud.
SaaS Security API inspects the content of a connection without using TLS Inspection. This is especially benificial to accounts that don't have TLS Inspection enabled. However, even for accounts that are using TLS Inspection, some cloud apps can't be inspected due to issues related to certificate pinning. SaaS Security API compliments Cato's inline CASB and DLP solutions to provide the best security coverage.",5,10,Yes (as an available addon),5,10,Inline only,5,10,Yes,5,10,No,0,0,Yes depending on platform,3,6,"Yes, Windstream does have solutions which support that feature.",5,10,Yes,5,10,,
DLP,10,Optional licesnsing - requires customer discovery,5,10,Yes,5,10,Yes,5,10,"Cato's DLP is delivered as part of a SASE Cloud service and provides coverage for all traffic to all enterprise assets (premise datacenter, cloud, SaaS). This includes on-prem applications hosted in the enterprise’s physical data centers, which most DLP solutions do not have visibility into and therefore do not cover. Additionally, Cato's DLP follows Zero Trust principles in which we can define DLP rules for applications and activities for which no explicit rules have been defined. This means that we can enforce restrictive policies for unsanctioned applications (AKA shadow IT) and ensure sensitive content isn't uploaded to, or downloaded from, these applications before we have had a chance to better understand their purpose and potential risk.
Cato's Security Service Edge, SSE 360 , which is part of Cato's Secure Access Service Edge (SASE), converges DLP with additional application access and threat mitigation services. Cato SSE 360 uses a Single Pass Cloud Engine (SPACE) to employ these services concurrently and with a shared context, enabling each one visibility into information collected and processed by the others, to enable them to make better informed decisions. This also shortens the overall processing time and reduces latency, which is further optimized by the fact that TLS encryption and decryption needs to be done once for all services.",5,10,Yes,5,10,no,0,0,Yes,5,10,Yes,5,10,Yes with specific license,5,10,"Yes, Windstream does have solutions which support that feature.",5,10,Yes,5,10,,
Ability to export logs in near real time to MDR provider - SPLUNK,Pass/Fail,Yes,Pass,Pass,Yes,Pass,Pass,Yes,Pass,Pass,"Cato provides a full API layer based on GraphQL for data extraction and the engineering support required to integrate with any third party SIEM or analytics platform, including Splunk. Many SIEM platforms consume Cato security events directly while others use scripted integrations which can sometimes include data normalisation prior to ingestion by the destination platform. Cato provides complete documentation, sample code and customisation where required to achieve integration.",Pass,Pass,Yes,Pass,Pass,Yes,,0,,,0,Yes,Pass,Pass,Yes,Pass,Pass,"Yes, Windstream does have solutions which support that feature.",Pass,Pass, ,,0,,
Historical Reporting (retention period),10,Up to 1 year.  Depends on cloud storage allocated.,5,10,Yes (90 days stated above),3,6,1 year,5,10,"Cato offers an extensive set of real-time and historical reporting capabilities, such as:Site connectivity: uptime, link quality (latency, packet loss, jitter, number of hops), link utilization, ISP performance, etc. Usage: applications, domains, hosts, users, etc. QoS: queue utilization, low priority packet drops, top users, MOS scoring, etc.Security: access control events, threat prevention events etc. Additionally the Cato API can be queried for reporting data.
We also supply Cato's Data Lake for increased log retention periods.",3,6,"Varies based on log type/level enabled. Base reporting solution includes 1GB/day log ingestion, 500GB total storage. Upgrades available to accomidate more daily log ingestion and/or total storage requirements. ",3,6,"90 days, in analytic Dashboard polling data",3,6,Yes,,0,30 Days,1,2,Yes (retntion period pricing is ICB),3,6,"Yes, Windstream does have solutions which support that feature.",5,10,Yes,,0,,
Real-time Traffic visibility and analytics,10,Yes,5,10,Yes,5,10,Yes,5,10,"With a single, converged network and security stack Cato Networks sees all WAN and Internet traffic. The metadata of all traffic flows is stored in a massive data warehouse for further processing by machine learning algorithms and human researchers. The resulting insights allow Cato to deliver detailed security and networking insights, such as those necessary for threat hunting. Such insights are unavailable with traditional telco services.
With all Internet and WAN-bound traffic able to pass through the Cato Cloud in route to the destination, Cato provides optimization, predictability, security and visibility on all traffic.
Visibility is not limited to security violations, but covers Analytics on all traffic, providing realtime and historical visibility with the following granularity:
Per application
Per domain
Per user / host
Per URL category
Realtime and historical representation of lastmile Jitter, Latency and Packet loss are augmented by detailed data usage visibility.
 
Additionally, Cato offers a Last Mile Monitoring service (see attached) to monitor last-mile from the site through the ISP all the way to the Cato PoP for brownout and blackout detection. Rather than being limited to the capabilities of the router, Cato uses its Cato Socket for last-mile monitoring. By default, Cato Sockets measure latency, loss, jitter using four different methods — DNS, HTTP, ping, and traceroute — although custom services can also be defined. Test results are then compared against the link profile generated during the onboarding process. Cato uses its data warehouse capabilities to construct detailed profiles of last-mile performance for each monitored service. These profiles are continuously updated to reflect seasonal variations in traffic conditions. By comparing test results against the link profiles, Cato can detect brownouts not just link outages.
Once problems are identified, Cato proactively works with ISPs to resolve them to minimize or eliminate the impact on users. Detailed reports identify the source of networking problems backed by extensive logs, shortening the time for ISPs to resolve problems.",5,10,Yes,5,10,Yes,5,10,Yes,5,10,No,0,0,Yes,5,10,"Yes, Windstream does have solutions which support that feature.",5,10,Yes,5,10,,
