Question,Default Weight,Category,Opportunity Type,Opportunity Subtypes
MS Teams,Pass/Fail,Functional Requirements,UCaaS,Phone System
InContact Integration,10,Functional Requirements,UCaaS,Phone System
Chromium Edge (click to dial),Pass/Fail,Functional Requirements,UCaaS,Phone System
Endpoint support,10,Functional Requirements,UCaaS,Phone System
Provide local numbers,10,Functional Requirements,UCaaS,Phone System
Provide local outbound calling,Pass/Fail,Functional Requirements,UCaaS,Phone System
Port in numbers,Pass/Fail,Functional Requirements,UCaaS,Phone System
Provide toll free numbers,Pass/Fail,Functional Requirements,UCaaS,Phone System
Local emergency services,Pass/Fail,Functional Requirements,UCaaS,Phone System
Phones using local gateways,10,Functional Requirements,UCaaS,Phone System
Total local gateways required,10,Integrations,UCaaS,Phone System
General Company overview,10,Integrations,UCaaS,Phone System
Public or Private Company,10,Integrations,UCaaS,Phone System
2021 revenue & financial Information,10,Integrations,UCaaS,Phone System
Key Acquisitions,10,Integrations,UCaaS,Phone System
Gartner/Forrester/ other analyst information,10,Integrations,UCaaS,Phone System
Referenceable  Clients - Similar Requirements,10,Integrations,UCaaS,Phone System
Proposed data center Address and contact phone number (is to give provide internet providers site info) ,10,Integrations,UCaaS,Phone System
"Please provide details around the ownership of the building that houses the data center.  Is the facility owned or leased?  If it is leased, who holds the lease and what are the terms of the current lease",10,Country Support,UCaaS,Phone System
Year data center constructed,10,Country Support,UCaaS,Phone System
List data center expansions/upgrades (year and nature of work),10,Country Support,UCaaS,Phone System
"List any airfields, nuclear power plants, chemical works, petroleum storage/distillery within a five-mile radius",10,Country Support,UCaaS,Phone System
Confirm proposed data center is outside the 100 year flood plain,10,Country Support,UCaaS,Phone System
"Has the proposed facility been awarded Tier Standards and Certifications by the Uptime Institute?  If so, what were the Tier Standard and Certifications achieved",10,Country Support,UCaaS,Phone System
Describe office Space/Workspace/Workspace recovery options and availability,10,Country Support,UCaaS,Phone System
Describe the process for bringing new equipment into the data center and removing existing equipment from the data center ,10,Country Support,UCaaS,Phone System
Is there a customer staging area,10,Company Information,Data Center,Colocation
Describe any storage facilities that can be utilized for the storage of equipment for a short-term or long-term basis.   Is there a private or communal storage?  What security controls are in place? How long can equipment be stored in communal/private storage areas,10,Company Information,Data Center,Colocation
"Confirm that the facilities do not have any overhead water piping or drainage systems above the proposed raised floor area, telecom rooms, or electrical rooms",10,Company Information,Data Center,Colocation
"Describe facility reporting metrics available to the client either via portal or reports (ticketing, power allocation and draw, network status and utilization, video surveillance, facility status, environmental, cabinet/rack/cage layout visualization, hardware inventory etc.)",10,Company Information,Data Center,Colocation
"Describe your ""remote hands"" support capabilities including hours of availability, languages spoken, resource levels by day/hour, pricing model, technologies supported, and any other relevant information(powering on/off equipment and reporting back information, reading/detailing system output information, ability connect/disconnect power cables, trace/test networking cables/ verify indicator light status etc.)",10,Company Information,Data Center,Colocation
"Provide the height and width of all elevators, doors and hallways along the path from facilities receiving to data center floor",10,Company Information,Data Center,Colocation
"Option A: Confirm the ability to accommodate 400 standard 42U cabinets of contiguous or non contiguous space, if unable to accommodate 400 cabinets how many cabinets can you accommodate currently ",10,Company Information,Data Center,Colocation
Option B: Confirm the ability to accommodate 180 standard 42U cabinets of contiguous or non contiguous space,10,General,Data Center,Colocation
Beyond cabinet requirements in options A and B above please confirm additional space available under right of first refusal ,10,General,Data Center,Colocation
Confirm that a Visio drawing will be included reflecting client cage/space,Info ,General,Data Center,Colocation
Describe contract terms under right of first refusal for cabinet/cage space,Info ,General,Data Center,Colocation
"Detail cage customization options (Biometric access, key pads, custom video surveillance, top/bottom on caging etc.)",Info ,General,Data Center,Colocation
What options exist for overhead ladder rack/cable management (3/4/5 Tiers etc.),Info ,General,Data Center,Colocation
"Do you provide cabinets, if so please describe what manufacture/models are available",Info ,General,Data Center,Colocation
"Are there any limitations on cabinet sizes, if so please describe",10,General,Data Center,Colocation
Do you have any restrictions as to the type of cabinets clients can provide themselves,10,General,Data Center,Colocation
List power utility providers supplying data center,Info ,General,Data Center,Colocation
Describe power distribution design from utility sources to client cabinets,10,General,Data Center,Colocation
What is the proposed Data Centers PUE,Info ,General,Data Center,Colocation
"Describe the current generator configuration (numbers and sizes of the generators, testing schedules etc.)",10,General,Data Center,Colocation
Are there any power system components that do not have at leased N+1 design for redundancy,10,General,Data Center,Colocation
Data center current and future power capacity,Info ,General,Data Center,Colocation
Data center current power utilization,10,Colocation Space,Data Center,Colocation
"Describe power maintenance processes/schedules (generator, UPS, power switching, PDU etc.)",10,Colocation Space,Data Center,Colocation
"Describe how long the Facilities can be operated without power from the service grid with supplies on-hand at the locations.  Include in this response any items that would need to be re-supplied during operation without service from the power service grid, and the frequency and quantity of re-supply required (e.g., fuel, water).",10,Colocation Space,Data Center,Colocation
"Confirm that a monthly report will be generated to show Facility KW usage that includes average KWs per rack, average weekly load by rack and 95% peak-average KWs per rack",Info ,Colocation Space,Data Center,Colocation
How do you monitor power distribution systems/components,Info ,Colocation Space,Data Center,Colocation
Describe power delivery options(metered/dedicated whips etc.),10,Colocation Space,Data Center,Colocation
"What power circuits configurations are available (20A/120V, 30A/120V, 20A/208V, 30A/208V, 50A/208V, 60A/208V, 20A/208V-3P, 30A/208V-3P, 50A/208V-3P and 60A/208V-3P)",10,Colocation Space,Data Center,Colocation
"Do you offer power wholesale pricing, if so what is minimum power commit/consumption",Info ,Colocation Space,Data Center,Colocation
Describe power density maximums per cabinet,Info ,Colocation Space,Data Center,Colocation
"Do you require minimum power commitments, if so please describe in detail",Info ,Colocation Space,Data Center,Colocation
Do you provide managed PDU's for client cabinets,Info ,Power,Data Center,Colocation
Are there any restrictions to clients providing their own PDUs,Info ,Power,Data Center,Colocation
List telecom providers built out in data center,10,Power,Data Center,Colocation
Describe external (carrier facing/peering) network design,10,Power,Data Center,Colocation
Describe internal (client facing) network design,Info ,Power,Data Center,Colocation
Are there any external or internal network components that do not have at least N+1 redundancy,10,Power,Data Center,Colocation
Describe process for ordering and implementing cross connects,10,Power,Data Center,Colocation
"What options are available for cross connects (SMF, CAT6 etc)",10,Power,Data Center,Colocation
"Are you internet neutral in terms of internet circuit providers availability to the site(i.e. no ""favoured providers only"" approach",10,Power,Data Center,Colocation
Please confirm that the proposed data center will maintain an ambient temperature between 65°- 78°F and a relative humidity between 30% and 60%.  The required ambient conditions are referenced to the intake of the computing equipment,Info ,Power,Data Center,Colocation
Describe the method used to prevent overheating during cooling disruption resulting from a utility power outage.,Info ,Power,Data Center,Colocation
"Confirm that all Facility cooling equipment is independently dual-powered, including chillers, heating ventilation and air-conditioning systems (HVACs)",Info ,Power,Data Center,Colocation
Describe your heat dissipation capabilities,Info ,Power,Data Center,Colocation
"If the heat dissipation system is a chilled water system, confirm that the chilled water storage system has the capacity to provide a minimum of seventy-two (72) hours of water in the event of a disruption of standard water delivery.  Describe the plan to augment water supply to keep Facilities operating indefinitely while standard water delivery is impacted",10,Power,Data Center,Colocation
Describe the fire suppression system and fire/smoke detection systems utilized,10,Power,Data Center,Colocation
Describe advanced smoke/carbon detection systems in place such as VESDA,10,Power,Data Center,Colocation
"Describe  the test, validation and inspection processes of the data center fire detection and suppression systems",Info ,Power,Data Center,Colocation
Describe processes/procedures for accessing the data center,Info ,Power,Data Center,Colocation
How are access controls managed and how frequently are access controls reviewed,Info ,Network,Data Center,Colocation
Describe video surveillance/monitoring system(s) for all internal and external access points as well as all critical building systems and the entire raised floor space,Info ,Network,Data Center,Colocation
What is the retention policy for video footage retrieval/playback,Info ,Network,Data Center,Colocation
Confirm that there is security monitoring by personnel on-site 24x7,10,Network,Data Center,Colocation
"Do you conduct independent security tests (network, physical, social engineering)",10,Network,Data Center,Colocation
"List data center standards adherence and compliance certifications (PCI,HIPAA,FISMA,SOC 2/3 etc.)",10,Network,Data Center,Colocation
What assistance is provided for client internal and/or third party audits,10,Network,Data Center,Colocation
Describe the SLA's level for power and how it is measured,10,Environmental,Data Center,Colocation
Describe the SLA's level for network services and how they are measured,10,Environmental,Data Center,Colocation
Describe the SLA's level for cooling and humidity availability and how it is measured,10,Environmental,Data Center,Colocation
Describe the SLA's level for support/ticketing and how it is measured,Info ,Environmental,Data Center,Colocation
"Describe NOC strategy (24/7/365, redundant NOC's, local staffing, remote staffing etc.)",10,Environmental,Data Center,Colocation
Describe Technical Account Management/Advanced support options,10,Environmental,Data Center,Colocation
"Describe your remote hands services at the proposed facility.  What are the hours of availability, resource levels by day/hour, requests support by “remote hands”, pricing model, and any relevant information",10,Environmental,Data Center,Colocation
How do you handle client Inventory management,Info ,Environmental,Data Center,Colocation
Describe your client notification processes for normal and emergency maintenance ,Info ,Security and Compliance,Data Center,Colocation
Describe your account management structure/processes,10,Security and Compliance,Data Center,Colocation
"What is your regular billing cycle (montly/quarterly, in advance/in arrears/both e.g. fixed in advance/variable in arrears)",10,Security and Compliance,Data Center,Colocation
What are your late payment terms,10,Security and Compliance,Data Center,Colocation
Public or Private ,10,Security and Compliance,Data Center,Colocation
2022/2023 revenue & financial Information,Info ,Security and Compliance,Data Center,Colocation
Referenceable  Client Logos,Info ,Security and Compliance,Data Center,Colocation
Wireless / Mobile Services Management ,Info ,Security and Compliance,Data Center,Colocation
"Will the solution support wireless and wirelines invoice processing, dispute management, inventory and reporting from a single portal",10,Security and Compliance,Data Center,Colocation
Invoice & expense management,Info ,Security and Compliance,Data Center,Colocation
Contract management,10,SLA's,Data Center,Colocation
MACD / Order management,10,SLA's,Data Center,Colocation
Does your system have API Integration with Wireless and SaaS Service Providers in the United States ,Info ,SLA's,Data Center,Colocation
"How do you build and maintain inventory (Invoices, EDI, Portals, API Access, CSRs…..) ",10,SLA's,Data Center,Colocation
Do you provide periodic inventory reviews if so at what frequency,Info ,Data Center Support,Data Center,Colocation
Describe how you work with carriers to consolidate accounts ,Info ,Data Center Support,Data Center,Colocation
Does the solution provide the capability to support cost allocation from consolidated bill,10,Data Center Support,Data Center,Colocation
"Does the solution have a way to identify and alert any missing invoices, invoice and inventory discrepancies, if so please describe",Info ,Data Center Support,Data Center,Colocation
Are you able to send an electronic feed with payment and G/L information ,Info ,Data Center Support,Data Center,Colocation
Can you provide Multi-currency allocations and support ,Info ,Account Management,Data Center,Colocation
Can you use and report on GL string allocation/Automation,Info ,Account Management,Data Center,Colocation
Can you implement defined rules and hierarchy of GL String,Info ,Account Management,Data Center,Colocation
Describe your initial invoice Audit Process,Info,Company Information,Expense Management,Mobile
Are monthly invoice charges audited?  Describe how and options ,Info,Company Information,Expense Management,Mobile
"Describe how you handle and report on Dispute, Dispute Tracking and Resolution ",Info,Company Information,Expense Management,Mobile
"At what frequency do you audit services against contract, is this customizable",Info,Company Information,Expense Management,Mobile
"Do you audit and report changes in surcharges, fees, taxes ",Info,Company Information,Expense Management,Mobile
Do you Audit MACD and Disconnected Services if so at what frequency,Info,Company Information,Expense Management,Mobile
"What Optimization Services do you provide? Do you provide cost optimization and cost avoidance recommendations, if so at what frequency",Info,Company Information,Expense Management,Mobile
"Can you provide an initial Cost Optimization and Cost Avoidance Analysis, if so is there an additional cost ",10,Software Module Capabilities,Expense Management,Mobile
Does your system provide benchmark analysis ,10,Software Module Capabilities,Expense Management,Mobile
How do you handle and support cost optimization projects to include savings tracking and disconnect order validation ,10,Software Module Capabilities,Expense Management,Mobile
How are service orders handled? What is required from the client ,10,Software Module Capabilities,Expense Management,Mobile
How are orders tracked to completion and what reporting is provided,10,Software Module Capabilities,Expense Management,Mobile
"How are orders managed through the system to insure that the inventory is updated, the invoices are received, allocated and paid ",10,Software Module Capabilities,Expense Management,Mobile
"Do you provide an order management portal, if so please describe capabilities",10,Service Inventory Build and Maintenance,Expense Management,Mobile
"How do you create and maintain Wireless Services Inventory, specify how you align Client HRIS wireless line assignments to Carrier based reporting ",10,Service Inventory Build and Maintenance,Expense Management,Mobile
How often is the wireless inventory reconciled and reviewed with the client ,10,Service Inventory Build and Maintenance,Expense Management,Mobile
Do you provide line and equipment assignment and remaining term reporting ,10,Service Inventory Build and Maintenance,Expense Management,Mobile
Do you provide ETF charges prior to a disconnect ,10,Service Inventory Build and Maintenance,Expense Management,Mobile
Does your solution perform regular plan and pool optimization for wireless devices?  Is so please explain and provide frequency,10,Service Inventory Build and Maintenance,Expense Management,Mobile
Does your solution provide zero use and inactive employees with active service audits.  Please explain how and frequency,10,Service Inventory Build and Maintenance,Expense Management,Mobile
"Does your solution enable the self service option for the ordering of wireless resources: cellular and data devices, rate planes for voice & data service, accessories and other items through one catalog/portal",10,Service Inventory Build and Maintenance,Expense Management,Mobile
Is the catalog customizable,10,Service Inventory Build and Maintenance,Expense Management,Mobile
Will the solution provide visibility to the end user as to the order status and updates as they occur,10,Audit Services,Expense Management,Mobile
"Can the solution be integrated with major ERP  and IT service management (ITSM ServiceNow) platforms, if so explain functionality and platforms supported",10,Audit Services,Expense Management,Mobile
Will the solution provide workflow for wireless request approvals by designated manager or approver for wireless,10,Audit Services,Expense Management,Mobile
Will the solution support client's business rules to ensure all orders are placed correctly,10,Audit Services,Expense Management,Mobile
"Will the solution show all open, closed and pending orders with the date due and the requested date",10,Audit Services,Expense Management,Mobile
Explain  how availability of mobility devices are provided by service provider at the time of order  ,10,Audit Services,Expense Management,Mobile
Provide a list of the Mobile Carries you have API Integration ,10,Optimization and Savings Recommendations,Expense Management,Mobile
"Do you provide Mobile Help Desk Support, if so provide hours of operations and brief description of support ",10,Optimization and Savings Recommendations,Expense Management,Mobile
"Can you support International Mobile services, If so provide a list of countries and vendors supported ",10,Optimization and Savings Recommendations,Expense Management,Mobile
Can you support Mobile order processing internationally - please describe,10,Optimization and Savings Recommendations,Expense Management,Mobile
Can you support International Mobile Help Desk - please describe ,10,MACD and Order Management ,Expense Management,Mobile
"Do you provide Mobile Depot, device wipe, break fix services ",10,MACD and Order Management ,Expense Management,Mobile
Do you provide MDM support and reporting ,10,MACD and Order Management ,Expense Management,Mobile
How are reports generated and views (manual or system automated),10,MACD and Order Management ,Expense Management,Mobile
What types of reports are available ,10,Wireless/Mobile Support,Expense Management,Mobile
How often is reported information updated ,10,Wireless/Mobile Support,Expense Management,Mobile
Can your system provide Executive and Functional Dashboards (manual or system automated) ,10,Wireless/Mobile Support,Expense Management,Mobile
Can reports be exported and if so into what file formats,10,Wireless/Mobile Support,Expense Management,Mobile
Confirm you provide Invoice and Month over Month Spend by Service Provider ,10,Wireless/Mobile Support,Expense Management,Mobile
Confirm you provide order and dispute tracking reports ,10,Wireless/Mobile Support,Expense Management,Mobile
Will the solution provide drill-down dashboards and reports?,10,Wireless/Mobile Support,Expense Management,Mobile
Provide a description of Account and Service Support listing out the typical team member structure  ,10,Wireless/Mobile Support,Expense Management,Mobile
"What is the weekly, monthly and quarterly meeting cadence ",10,Wireless/Mobile Support,Expense Management,Mobile
How do you manage client request and issue management ,10,Wireless/Mobile Support,Expense Management,Mobile
Will you provide contact information including call in support ,10,Wireless/Mobile Support,Expense Management,Mobile
Will you provide Business Reviews and Executive Reporting ,10,Wireless/Mobile Support,Expense Management,Mobile
How are savings defined ,10,Wireless/Mobile Support,Expense Management,Mobile
"How are savings tracked, reported and validated to bill",10,Wireless/Mobile Support,Expense Management,Mobile
Do you provide a savings guarantee,10,Wireless/Mobile Support,Expense Management,Mobile
What SLAs are provided? Do you include any financial penalties for non-compliance ,10,Wireless/Mobile Support,Expense Management,Mobile
Please provide a current SOC 2 Type 2 Report or other similar audit report? ,10,Wireless/Mobile Support,Expense Management,Mobile
Please provide a copy of your most recent audit report,10,Wireless/Mobile Support,Expense Management,Mobile
Please provide a typical implementation timeline and requires ,10,Wireless/Mobile Support,Expense Management,Mobile
Global Capabilities,10,Wireless/Mobile Support,Expense Management,Mobile
How do you integrate with HCM systems such as HRIS? What is the degree of ease of management,10,Wireless/Mobile Support,Expense Management,Mobile
List HCM and HRIS systems supported,10,Reporting,Expense Management,Mobile
"How do you integrate with SNOW, other client based applications and who owns the catalog",10,Reporting,Expense Management,Mobile
How would you integrate and support client Tier 1 support helpdesk ,10,Reporting,Expense Management,Mobile
"Describe your capabilities surrounding removing workload from internal Client  staff, how does your platform solve for this. Describe in detail",10,Reporting,Expense Management,Mobile
Can you provide Benchmarking and Contract Negotiation Support as one off projects for both Mobile and Wireline services globally,10,Reporting,Expense Management,Mobile
"Describe your mobile services Global Capabilities (See Scope Tab for Equinix Regions, confirm Countries and Providers are supported) ",10,Reporting,Expense Management,Mobile
"Can you provide Dynamic Plan Changes inside a billing cycle? If so, please provide a brief description.",10,Reporting,Expense Management,Mobile
Can you describe in detail how your platform integrates with ServiceNow,10,Reporting,Expense Management,Mobile
"For customer portal and order placement, is your ServiceNow a true integration or a punch out model",10,Business Reviews and Account Support,Expense Management,Mobile
"How much time/level of effort will be required from the Equinix team for  ServiceNow for integration, implementation and in life cycle? Equinix wants to see the amount of time in “black and white”. What additional information is needed for you to provide this?",10,Business Reviews and Account Support,Expense Management,Mobile
"Please describe how you will support Mobile Device Purchase by Equinix End Users, can you support Equinix employee purchases or partial purchase/upgraded device scnenarios? How do you handle Equinix employee credit card transactions? ",10,Business Reviews and Account Support,Expense Management,Mobile
Do you outsource or use any 3rd party support or are all you support services badged employees,10,Business Reviews and Account Support,Expense Management,Mobile
Where are your support resources located,10,Business Reviews and Account Support,Expense Management,Mobile
What languages can you support for both calls and written communications,10,Savings Tracking,Expense Management,Mobile
Can you provide Mobile Contract negotiations?  Please provide a list of countries and providers.  Are there any additional cost for this service? If there are additional costs please describe in detail IE per carrier engagement etc. ,10,Savings Tracking,Expense Management,Mobile
Can you provide Mobile Services Benchmarking? If so please describe,10,Savings Tracking,Expense Management,Mobile
Equinix is requesting that each provider provide a savings analysis and projected savings based on a US based demand set. What information do you request and how long will this take to get turned around,Info,SLAs,Expense Management,Mobile
Need to fully understand how you will Optimize savings for the non-US / Canadian Carriers and if savings are possible and can they be tracked,10,Other,Expense Management,Mobile
What is required for you to offer a Savings Guarantee,10,Other,Expense Management,Mobile
"Do you manage customer switching, routing, firewalls and wifi networking? What platforms are supported? ",10,Other,Expense Management,Mobile
"Please rate your professional services capabilities in each of these areas as either none, basic, or strong",10,Other,Expense Management,Mobile
*Guidance/application of IT best practices ,10,Other,Expense Management,Mobile
"*Implementation/configuration of sharepoint, configuring sites, applying governance, identity/access management, MFA etc. ",10,Other,Expense Management,Mobile
*Migration of NAS/file data to O365 Sharepoint and MS Teams?,10,Other,Expense Management,Mobile
*Ongoing management of O/M 365 suite of applications to include  Teams/Sharepoint and other applications,10,Other,Expense Management,Mobile
,10,Other,Expense Management,Mobile
"For broadband circuits, do you have your own agreements with local carriers, or do you leverage an aggregator?",10,Other,Expense Management,Mobile
How many direct provider contracts do you have in the US?,10,Other,Expense Management,Mobile
"Do you have ebonding with a majority of your carriers, or do you have to phone in support requests?",10,Additional Provider Questions,Expense Management,Mobile
"Will you provide an SLA for circuit installation for new store openings? If so, what SLA?",10,Additional Provider Questions,Expense Management,Mobile
Do you offer unlimited 5G wireless (with no throttling/caps) as an option for primary connectivity? Which carriers?,10,Additional Provider Questions,Expense Management,Mobile
"For backup LTE/5G, do you pool data across carriers? Which carriers?",10,Additional Provider Questions,Expense Management,Mobile
"*Implementation/configuration of Identity and access management, Single Sign On and Multi-Factor Authentication",10,Additional Provider Questions,Expense Management,Mobile
*Implementation/configuration of on prem or Azure Active Directory,10,Additional Provider Questions,Expense Management,Mobile
*Network design and architecture,10,Additional Provider Questions,Expense Management,Mobile
*Database administration,10,Additional Provider Questions,Expense Management,Mobile
*Onsite installation (Rack and stack),10,Additional Provider Questions,Expense Management,Mobile
*Server deployment (physical or virtual),10,Additional Provider Questions,Expense Management,Mobile
*On premise storage/SAN/NAS,Info,Additional Provider Questions,Expense Management,Mobile
*Software Development,Info,Additional Provider Questions,Expense Management,Mobile
*IT Security assessments,10,Additional Provider Questions,Expense Management,Mobile
*Compliance,10,Network Managed Services,Managed Service Provider,
Describe help desk offering(s) in detail. ,10,Network Managed Services,Managed Service Provider,
Do you manage/support end user applications? If so please list supported apps. ,10,Network Managed Services,Managed Service Provider,
What hours are your help desk staffed?,10,Network Managed Services,Managed Service Provider,
What are your help desk locations? Are all staff US based?,10,Network Managed Services,Managed Service Provider,
"How can clients access support, ticketing systems, phone, chat, email?",10,Network Managed Services,Managed Service Provider,
Can you provide onsite support?  Site list to be shared.,10,Network Managed Services,Managed Service Provider,
Do you offer white-glove/premier help desk services?,10,Network Managed Services,Managed Service Provider,
Do you staff all support tiers 24/7 or do you have to escalate to on call resources during some hours?,10,Network Managed Services,Managed Service Provider,
"What reporting do you offer? I.e. Actionanble, Executive.",10,Network Managed Services,Managed Service Provider,
What are your SLA's for Help Desk?,10,Network Managed Services,Managed Service Provider,
Do you manage desktop/laptop operating systems? List operating systems supported.,10,Network Managed Services,Managed Service Provider,
What endpoint management tools are leveraged/supported?,10,Network Managed Services,Managed Service Provider,
"Do you manage peripherals (printers, scanners etc.)?",10,Network Managed Services,Managed Service Provider,
Do you offer hardware/software lifecycle management? If so please describe capabilities. ,10,Network Managed Services,Managed Service Provider,
Do you manage on prem/Azure Active Directory?,10,Project Work,Managed Service Provider,
Do you offer onging management of cloud o365 email/apps? Describe services in detail. ,10,Project Work,Managed Service Provider,
"Do you offer/manage SSO, Identity Mgmt solutions? If so describe in detail.",10,Project Work,Managed Service Provider,
Do you support/manage Sharepoint and MS Teams? Please describe services in detail.  ,10,Project Work,Managed Service Provider,
Do you offer wharehousing and inventory management of customer devices such as laptop/tablets etc.,10,Project Work,Managed Service Provider,
Do you offer staging/standard imaging and  deployment of end user devices?,10,AWS,Managed Service Provider,
Describe remote support capabilities/methodology. What tools are used?,10,AWS,Managed Service Provider,
Do you offer managed NAS services? What platforms are supported (Synology?),10,AWS,Managed Service Provider,
"Do you offer patch management? Describe tools used, methodology and supported platforms. ",10,AWS,Managed Service Provider,
Do you manage customer owned hardware? Will you engage directly with manufacturer for break-fix/RMA's? List platforms supported. ,10,Infrastructure Managed Services,Managed Service Provider,
Do you support/manage voice systems (UCaaS/On Prem Cisco etc.)? List platforms supported. ,10,Infrastructure Managed Services,Managed Service Provider,
Do you support managing VMware?,10,Infrastructure Managed Services,Managed Service Provider,
Do you support data backup? Servers and endpoints? Please describe.  ,10,Infrastructure Managed Services,Managed Service Provider,
Do you manage applications? Describe/list applications supported.,10,Circuit Aggregation,Managed Service Provider,
What are your SLA's for hardware/infrastructure/endpoint management?,10,Circuit Aggregation,Managed Service Provider,
"What reporting do you offer? I.e. Actionable, Executive.",10,Circuit Aggregation,Managed Service Provider,
Number of clients in the financial vertical,10,Circuit Aggregation,Managed Service Provider,
Please list your NOC locations and approximate staffing levels,10,Circuit Aggregation,Managed Service Provider,
Do you have a SOC2 Type 2 that can be shared under NDA,10,Circuit Aggregation,Managed Service Provider,
Do you include patching in your managed network services?,10,Project Work,Managed Service Provider,
Patching frequency,10,Project Work,Managed Service Provider,
Is out of schedule emergency patching for critical security patches included?,10,Project Work,Managed Service Provider,
"Are major version updates included, or only minor updates?",10,Project Work,Managed Service Provider,
Can patch schedules be dictated/customized to client needs?,10,Project Work,Managed Service Provider,
"VMware, Server/Desktop OS, Network devices such as firewalls, switches routers? What platform(s) do you use for patching?",10,Project Work,Managed Service Provider,
Do you include onsite support for hardware issues/replacement?,10,Project Work,Managed Service Provider,
Do you coordinate with manufacturers for hardware replacement on bahalf of the customer?,10,Project Work,Managed Service Provider,
What is your SLA for P1 remote support?,10,Project Work,Managed Service Provider,
What is your SLA for onsite support if needed?,10,Project Work,Managed Service Provider,
Do you support Cisco Catalyst and Aironet? What is your Cisco partner level?,10,Help Desk,Managed Service Provider,
Do you support Meraki Switching and APs? What is your partner level?,10,Help Desk,Managed Service Provider,
Do you support Cato Networks? What is your partner level?,10,Help Desk,Managed Service Provider,
"If Lighthouse choses to move to a model in the future where you provide the hardware as a monthly service cost, what hardware brands do you support in this model?",10,Help Desk,Managed Service Provider,
"Can you offer a persistent resource model for a client of this size (not dedicated, but a small number of engineers they would consistenty work with who would know their environment?",10,Help Desk,Managed Service Provider,
What primary monitoring tool does your NOC use for network? Would Lighthouse have access to this tool?,10,Help Desk,Managed Service Provider,
How many Azure certified engineers/architects do you have on staff?,10,Help Desk,Managed Service Provider,
"Do you support Azure specific features (autoscaling, RDS, etc.), or just basic infrastructure (VMs, network, storage)",10,Help Desk,Managed Service Provider,
Do you manage the OS?,10,Help Desk,Managed Service Provider,
Do you manage applications?,10,Help Desk,Managed Service Provider,
Do you provide Microsoft licensing as CSP? Are there advantages to using your services for licensing such as reduced price and/or premier support?,10,Help Desk,Managed Service Provider,
Do you manage M365 suite? If so describe service offering. ,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
What is  Microsoft partner Status?,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Do you have Microsoft Modern Workforce expertise? If so describe. ,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Do you manage desktop/laptop and server operating systems? List operating systems supported.,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Do you support HPE Alterris SANs? What is your partner level?,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Do you support HPE Servers? What is your partner level?,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
What are your options for HPE provided hardware replacement (RMA) for failed devices to include HPE resources managing replacement?,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
What endpoint management tools do you use?,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Do you support/manage virtual infrastructure (VMware etc.)? List supported platforms. ,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Can you support/manage AIX systems?,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Do you manage/support Microsoft Active Directory and Microsoft EntraID? Describe service offerings.,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
"Can you offer co-lo to host 1 rack of infrastructure (AIX, routers, etc.). If so, what locations and what Data Center providers?",10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
"Do you offer data protection or ""data backup""? If so describe service offering(s)",10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Describe reporting available for data backup and DR services. ,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Do you offer customizable data retention? ,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Do you offer both onsite data storage as well as off premise/Cloud based data storage for backup data?,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Do you support data backup/DR for virtual machines and AIX systems? List supported platforms.,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Can clients perform self service restores of data?,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Can you setup/Manage DR to Azure from our on prem datacenter?,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
What RPO's and RTO's are supported for DR?,10,Infrastructure/Hardware/Endpoint,Managed Service Provider,
Do you provide a DR runbook for both testing and failover events? If so please describe. ,10,Company Information,Managed Service Provider,
"How many DR tests, per year, are included by default? Can additional tests be added?",10,Company Information,Managed Service Provider,
Does your annual BC/DR testing include full production run from the DR site and failback?,10,Company Information,Managed Service Provider,
How many staff are on the help desk Lighthouse would call into?,10,Network Manages Services,Managed Service Provider,
"Is the desk staffed 24/7? If so, are all ticket types handled 24/7, or only certain types?",10,Network Manages Services,Managed Service Provider,
SLAs for response,10,Network Manages Services,Managed Service Provider,
Can you support Jack Henry financial software?,10,Network Manages Services,Managed Service Provider,
"Platforms you support ""out of the box""",10,Network Manages Services,Managed Service Provider,
Will you support other customer platforms given a runbook or vendor support contract?,10,Network Manages Services,Managed Service Provider,
Can you support a full bi-directional integration with Jira so our employees remain in our system?,10,Network Manages Services,Managed Service Provider,
What voice/UC platforms do you manage/support?,10,Network Manages Services,Managed Service Provider,
Do you offer onging management of cloud o365 email/apps? Describe services in detail.,10,Network Manages Services,Managed Service Provider,
